code,english,chinese,old_price,price
a00,APPETIZERS,開胃小點,,
a01,Bar-B-Q Pork,叉燒,995,1095
a02,Deep Fried Wonton,炸雲吞,850,950
a03,Deep Fried Drumsticks,酥炸棒棒雞腿,995,1095
a04,Chef’s Special Deep Fried Chicken Wings,秘製炸雞翼,995,1095
a05,Lettuce Wrap with Minced Beef,牛肉生菜包,1795,1995
a08,Lettuce Wrap with Minced Chicken,雞肉生菜包,1795,1995
a09,Lettuce Wrap with Minced Duck,鴨肉生菜包,1795,1995
a06,Spring Roll,春卷,250,275
a07,Pot Stickers 10 pcs,鍋貼,1050,1150
a10,Chinese Sausage,臘腸,995,1095
b00,SOUPS。SOUP NOODLE,湯品。湯麵,,
b01,Wonton Soup,雲吞湯,850,950
b02,Wor Wonton (15 pieces),窩雲吞,1650,1795
b03,Beef and Lettuce with Egg Swirl Soup,西湖牛肉湯,1050,1150
b04,Corn Soup,粟米湯,1050,1150
b05,Hot n Sour Soup,酸辣湯,1050,1150
b06,Mushroom and Egg Swirl Soup,蘑菇蛋花湯,950,1050
b07,Beef and Tomato Swirl Soup,牛肉蕃茄湯,1050,1150
b08,Wonton Soup Noodle,雲吞麵,950,1050
b09,Beef Ball Soup Noodle,牛丸湯麵,950,1050
b10,Fish Ball Soup Noodle,魚旦湯麵,950,1050
b11,Pea And Egg Swirl Soup,丕豆蛋花湯,950,1050
b12,Seafood and Bean Cake Soup,海鮮豆腐湯,1200,1295
b13,Hot Chili Tomato Soup,蕃茄酸辣湯,1050,1150
c00,CHICKEN,雞肉,,
c01,Cashew Chicken,腰果雞丁,1495,1650
c02,Kung Pao Chicken,宮保雞丁,1495,1650
c03,Black Bean Chicken,豆豉雞丁,1495,1650
c04,Lemon Chicken,檸檬酥雞,1595,1795
c05,Sweet and Sour Chicken Balls with Pineapple,甜酸雞球,1595,1795
c06,Pan Fried Chicken Slice with Curry Sauce,咖喱雞片,1495,1650
c07,Fried Chicken with Garlic Salt and Chili Pepper,椒鹽酥雞,1495,1650
c08,Diced Chicken with Almond,杏仁雞丁,1495,1650
c09,Breaded Almond Chicken,杏仁酥雞,1595,1795
c10,Breaded Chicken with Pineapples,菠蘿酥雞,1595,1795
c11,Pan Fired Chicken with Snow Peas,雪豆雞片,1695,1895
c12,Pan Fried Chicken with Three Kinds of Mushroom, 三菇雞片,1495,1650
c13,Chicken Hot Pot,雞肉煲,1695,1895
c14,General Tso’s Chicken,左宗棠雞,,2150
d01,BBQ Duck Whole Duck,片皮鴨,3600,4000
d02,BBQ Duck Half Duck,片皮鴨,2000,2200
